A/swine/Nebraska/A02478998/2020|MT020058|npdm|1A.3.3.2	npdm	0.9936944580309206
A/swine/Illinois/A02479030/2020|MT020048|alpha|1A.1.1	alpha	0.9895373616891597
A/swine/Nebraska/A02245391/2020|MT052138|delta1|1B.2.2.2	delta1	0.9985993527910174
A/swine/Minnesota/A02245393/2020|MT052156|npdm|1A.3.3.2	npdm	0.9954344941826385
A/swine/Minnesota/A02245379/2020|MT052160|delta2|1B.2.1	delta2	0.9659984631736146
A/swine/Texas/A02245382/2020|MT052170|alpha|1A.1.1	alpha	0.9946550502264287
A/swine/Minnesota/A02245407/2020|MT081589|delta2|1B.2.1	delta2	0.9987185650292564
A/swine/Iowa/A02245392/2020|MT081591|gamma|1A.3.3.3	gamma	0.9958736950559832
A/swine/Minnesota/A02245397/2020|MT081597|gamma|1A.3.3.3	gamma	0.9977568259081491
A/swine/Iowa/A02479021/2020|MT077033|gamma|1A.3.3.3	gamma	0.9981684183856594
A/swine/Iowa/A02479031/2020|MT077037|delta2|1B.2.1	delta2	0.998949599881801
A/swine/Minnesota/A02245403/2020|MT081581|delta1|1B.2.2.2	delta1	0.9966093562756523
A/swine/Iowa/A02245400/2020|MT081585|gamma|1A.3.3.3	gamma	0.9937413510211618
A/swine/North_Carolina/A02245402/2020|MT081587|alpha|1A.1.1	alpha	0.9943513372186307
A/swine/Iowa/A02479013/2020|MT077047|gamma|1A.3.3.3	gamma	0.998611089680791
A/swine/Iowa/A02479011/2020|MT077049|delta2|1B.2.1	delta2	0.998880209797062
A/swine/Iowa/A02479017/2020|MT077051|delta2|1B.2.1	delta2	0.9963510971334284
A/swine/Iowa/A02479038/2020|MT106100|delta1|1B.2.2.2	delta1	0.9985056581061729
A/swine/Iowa/A02479035/2020|MT106102|delta2|1B.2.1	delta2	0.9985670081455514
A/swine/Minnesota/A02479051/2020|MT121021|gamma|1A.3.3.3	gamma	0.9987220928871164
A/swine/Missouri/A02479039/2020|MT121013|delta2|1B.2.1	delta2	0.9968012271843689
A/swine/Iowa/A02479042/2020|MT121033|delta1|1B.2.2.2	delta1	0.9972031386636026
A/swine/Indiana/A02479046/2020|MT121037|delta2|1B.2.1	delta2	0.9991245715818111
